pm10,date (Europe/London)
50,2025-12-04 20:05:29.257000+00:00
50,2025-12-04 20:05:27.304000+00:00
50,2025-12-04 20:05:25.267000+00:00
50,2025-12-04 20:05:23.267000+00:00
50,2025-12-04 20:05:21.315000+00:00
50,2025-12-04 20:05:19.262000+00:00
50,2025-12-04 20:05:17.286000+00:00
50,2025-12-04 20:05:15.280000+00:00
50,2025-12-04 20:05:13.325000+00:00
49,2025-12-04 20:05:11.270000+00:00
49,2025-12-04 20:05:09.276000+00:00
49,2025-12-04 20:05:07.305000+00:00
49,2025-12-04 20:05:05.264000+00:00
49,2025-12-04 20:05:03.295000+00:00
49,2025-12-04 20:05:01.253000+00:00
49,2025-12-04 20:04:59.348000+00:00
49,2025-12-04 20:04:57.257000+00:00
30,2025-12-04 20:04:55.315000+00:00
30,2025-12-04 20:04:53.259000+00:00
30,2025-12-04 20:04:51.302000+00:00
30,2025-12-04 20:04:49.266000+00:00
30,2025-12-04 20:04:47.291000+00:00
30,2025-12-04 20:04:45.258000+00:00
29,2025-12-04 20:04:43.258000+00:00
29,2025-12-04 20:04:41.287000+00:00
32,2025-12-04 20:04:39.307000+00:00
32,2025-12-04 20:04:37.283000+00:00
32,2025-12-04 20:04:35.306000+00:00
32,2025-12-04 20:04:33.285000+00:00
32,2025-12-04 20:04:31.286000+00:00
32,2025-12-04 20:04:29.256000+00:00
33,2025-12-04 20:04:27.255000+00:00
33,2025-12-04 20:04:25.319000+00:00
27,2025-12-04 20:04:23.260000+00:00
27,2025-12-04 20:04:21.330000+00:00
27,2025-12-04 20:04:19.270000+00:00
27,2025-12-04 20:04:17.301000+00:00
27,2025-12-04 20:04:15.272000+00:00
27,2025-12-04 20:04:13.324000+00:00
25,2025-12-04 20:04:11.325000+00:00
25,2025-12-04 20:04:09.262000+00:00
23,2025-12-04 20:04:07.291000+00:00
23,2025-12-04 20:04:05.304000+00:00
23,2025-12-04 20:04:03.260000+00:00
23,2025-12-04 20:04:01.257000+00:00
23,2025-12-04 20:03:59.275000+00:00
23,2025-12-04 20:03:57.262000+00:00
26,2025-12-04 20:03:55.257000+00:00
26,2025-12-04 20:03:53.354000+00:00
26,2025-12-04 20:03:51.298000+00:00
30,2025-12-04 20:03:49.323000+00:00
30,2025-12-04 20:03:47.264000+00:00
30,2025-12-04 20:03:45.439000+00:00
30,2025-12-04 20:03:43.275000+00:00
30,2025-12-04 20:03:41.370000+00:00
33,2025-12-04 20:03:40.919000+00:00
33,2025-12-04 20:03:37.314000+00:00
33,2025-12-04 20:03:35.258000+00:00
61,2025-12-04 20:03:33.270000+00:00
61,2025-12-04 20:03:31.322000+00:00
61,2025-12-04 20:03:29.331000+00:00
61,2025-12-04 20:03:27.258000+00:00
61,2025-12-04 20:03:25.333000+00:00
101,2025-12-04 20:03:23.298000+00:00
101,2025-12-04 20:03:21.300000+00:00
101,2025-12-04 20:03:19.320000+00:00
109,2025-12-04 20:03:17.258000+00:00
109,2025-12-04 20:03:15.313000+00:00
109,2025-12-04 20:03:13.290000+00:00
109,2025-12-04 20:03:11.260000+00:00
109,2025-12-04 20:03:09.339000+00:00
109,2025-12-04 20:03:07.259000+00:00
109,2025-12-04 20:03:05.294000+00:00
109,2025-12-04 20:03:03.310000+00:00
108,2025-12-04 20:03:01.263000+00:00
108,2025-12-04 20:02:59.349000+00:00
108,2025-12-04 20:02:57.258000+00:00
108,2025-12-04 20:02:55.274000+00:00
108,2025-12-04 20:02:53.290000+00:00
108,2025-12-04 20:02:51.266000+00:00
108,2025-12-04 20:02:49.276000+00:00
108,2025-12-04 20:02:47.272000+00:00
101,2025-12-04 20:02:45.273000+00:00
101,2025-12-04 20:02:43.290000+00:00
101,2025-12-04 20:02:41.280000+00:00
101,2025-12-04 20:02:39.286000+00:00
101,2025-12-04 20:02:37.268000+00:00
101,2025-12-04 20:02:35.263000+00:00
101,2025-12-04 20:02:33.264000+00:00
101,2025-12-04 20:02:31.279000+00:00
78,2025-12-04 20:02:29.274000+00:00
78,2025-12-04 20:02:27.302000+00:00
78,2025-12-04 20:02:25.313000+00:00
78,2025-12-04 20:02:23.282000+00:00
78,2025-12-04 20:02:21.260000+00:00
78,2025-12-04 20:02:19.318000+00:00
78,2025-12-04 20:02:17.272000+00:00
78,2025-12-04 20:02:15.342000+00:00
89,2025-12-04 20:02:13.319000+00:00
89,2025-12-04 20:02:11.301000+00:00
89,2025-12-04 20:02:09.327000+00:00
89,2025-12-04 20:02:07.265000+00:00
89,2025-12-04 20:02:05.275000+00:00
89,2025-12-04 20:02:03.273000+00:00
89,2025-12-04 20:02:01.266000+00:00
89,2025-12-04 20:01:59.262000+00:00
87,2025-12-04 20:01:57.274000+00:00
87,2025-12-04 20:01:55.271000+00:00
87,2025-12-04 20:01:53.314000+00:00
87,2025-12-04 20:01:51.273000+00:00
87,2025-12-04 20:01:49.286000+00:00
87,2025-12-04 20:01:47.353000+00:00
87,2025-12-04 20:01:45.304000+00:00
87,2025-12-04 20:01:43.316000+00:00
87,2025-12-04 20:01:41.347000+00:00
87,2025-12-04 20:01:39.265000+00:00
87,2025-12-04 20:01:37.264000+00:00
87,2025-12-04 20:01:35.330000+00:00
87,2025-12-04 20:01:33.290000+00:00
87,2025-12-04 20:01:31.259000+00:00
87,2025-12-04 20:01:29.266000+00:00
87,2025-12-04 20:01:27.302000+00:00
87,2025-12-04 20:01:25.274000+00:00
87,2025-12-04 20:01:23.300000+00:00
87,2025-12-04 20:01:21.316000+00:00
87,2025-12-04 20:01:19.317000+00:00
87,2025-12-04 20:01:17.315000+00:00
87,2025-12-04 20:01:15.257000+00:00
87,2025-12-04 20:01:13.272000+00:00
87,2025-12-04 20:01:11.303000+00:00
87,2025-12-04 20:01:09.398000+00:00
87,2025-12-04 20:01:07.328000+00:00
87,2025-12-04 20:01:05.272000+00:00
87,2025-12-04 20:01:03.306000+00:00
87,2025-12-04 20:01:01.323000+00:00
87,2025-12-04 20:00:59.280000+00:00
87,2025-12-04 20:00:57.326000+00:00
87,2025-12-04 20:00:55.287000+00:00
87,2025-12-04 20:00:53.297000+00:00
75,2025-12-04 20:00:51.327000+00:00
75,2025-12-04 20:00:49.298000+00:00
75,2025-12-04 20:00:47.326000+00:00
75,2025-12-04 20:00:45.357000+00:00
75,2025-12-04 20:00:43.271000+00:00
75,2025-12-04 20:00:41.270000+00:00
75,2025-12-04 20:00:39.450000+00:00
75,2025-12-04 20:00:37.311000+00:00
84,2025-12-04 20:00:35.311000+00:00
84,2025-12-04 20:00:33.309000+00:00
84,2025-12-04 20:00:31.275000+00:00
84,2025-12-04 20:00:29.277000+00:00
84,2025-12-04 20:00:27.274000+00:00
84,2025-12-04 20:00:25.289000+00:00
84,2025-12-04 20:00:23.404000+00:00
84,2025-12-04 20:00:21.336000+00:00
73,2025-12-04 20:00:19.290000+00:00
73,2025-12-04 20:00:17.287000+00:00
